0_BLANK
1A
2A
3A
1B
2B
3B
1A_2A
1A_3A
2A_3A
1B_2B
1B_3B
2B_3B
1A_2B
1A_3B
2A_3B
1B_2A
1B_3A
2B_3A
1A_2A_3A
1B_2B_3B
1A_2B_3B
1B_2A_3B
1B_2B_3A
1B_2A_3A
1A_2B_3A
1A_2A_3B
